Area,Location,Bedrooms,Price
1179,3,3,73700000
1181,3,3,79200000
1234,3,3,62100000
1357,3,3,42600000
1648,3,4,44300000
1305,3,3,85600000
894,3,2,59700000
932,3,2,54500000
1705,3,4,65500000
1105,3,3,62800000
1142,3,3,68100000
1344,3,3,59500000
1335,3,3,78800000
1418,3,3,5600000
1210,3,3,2650000
1478,3,3,12700000
1632,3,3,8500000
1250,3,2,3779999
1250,3,2,3735000
1200,3,2,4072000
1250,3,2,17700000
1250,3,2,32000000
1250,3,2,22000000
1850,3,3,14500000
1850,3,3,4500000
1350,3,2,11500000
1350,3,2,2000000
900,3,2,15500000
2050,3,4,37800000
1650,3,3,7500000
1200,3,2,5100000
2400,3,4,4500000
1600,3,3,11000000
1850,3,3,23100000
1850,3,3,37000000
1850,3,3,5800000
600,3,1,8800000
1650,3,3,15100000
1250,3,2,43000000
1950,3,4,4800000
1500,3,3,3675000
1003,3,2,12800000
1166,3,2,27300000
1509,3,3,42000000
800,3,2,12200000
800,3,2,11500000
954,3,2,8400000
1274,3,3,8400000
985,3,3,9200000
650,3,1,8600000
1000,3,2,10500000
650,3,1,13000000
650,3,1,8500000
1195,3,2,7150000
1250,3,3,12000000
912,3,2,9300000
660,3,2,22500000
1050,3,2,17500000
2300,3,3,6500000
2590,3,5,65000000
1295,3,3,2600000
1200,3,3,12000000
1040,3,2,12000000
3080,3,3,27000000
3780,3,4,35000000
4650,3,5,70000000
1057,3,2,11500000
950,3,2,18500000
1100,3,2,9400000
768,3,2,10000000
768,3,2,3600000
1200,3,3,2650000
600,4,1,2010000
575,4,1,2005000
505,4,1,2170000
675,4,1,22000000
571,4,1,31500000
642,4,1,17000000
480,4,1,4650000
675,4,1,2865000
675,4,1,2865000
430,4,1,3979999
500,4,1,7500000
500,4,1,2560000
441,4,1,2400000
675,4,1,15300000
910,4,2,5500000
920,4,2,2600000
660,4,1,2650000
660,4,1,22500000
1050,4,2,2815000
710,4,1,3615000
1040,4,2,3999000
1025,4,2,3700000
1025,4,2,2750000
730,4,1,41900000
610,4,1,13500000
655,4,1,2150000
655,4,1,2150000
655,4,1,2250000
655,4,1,2400000
920,4,2,2399000
700,4,1,2000000
655,4,1,3200000
820,4,2,3600000
920,4,2,2650000
510,4,1,3565999
703,4,2,4267000
841,4,2,4427000
873,4,2,3872000
762,4,2,3125000
615,4,1,2725000
535,4,1,3811999
750,4,2,4052000
798,4,2,2950000
580,4,1,2575000
505,4,1,6800000
972,4,2,3100000
672,4,1,8500000
655,4,1,22000000
930,4,2,13000000
450,4,1,3800000
715,4,1,3682000
715,4,1,3682000
620,4,1,2399000
670,4,1,3500000
545,4,1,2077000
620,4,1,10000000
690,4,1,3750000
700,4,1,3100000
650,4,1,9800000
1141,5,3,72000000
440,5,1,66600000
1305,5,2,60000000
1750,5,3,250000000
425,5,1,7598999
425,5,1,35000000
425,5,1,2600000
1500,5,2,6500000
1150,5,2,115000000
1100,5,2,2400000
1980,5,3,4425000
1700,5,3,4489000
3000,5,4,6998999
838,5,2,7100000
2000,5,3,16399999
5200,5,5,8200000
832,5,2,36500000
965,5,3,25200000
3100,5,4,15500000
850,5,2,30000000
850,5,2,25000000
2893,5,4,6500000
1900,5,3,72500000
1750,5,3,75000000
1000,5,2,26000000
1800,5,3,14500000
750,5,2,7500000
750,5,2,8500000
550,5,1,8700000
1824,5,3,70000000
1824,5,3,70000000
1824,5,3,16000000
1118,5,3,110000000
833,5,2,84500000
1409,5,3,30200000
1200,5,2,9500000
2255,5,3,52400000
1182,5,2,19400000
550,5,1,16000000
2150,5,4,17000000
2000,5,4,17000000
2200,5,3,10500000
3000,5,2,2576000
1050,6,2,13500000
1335,6,2,18000000
1267,6,3,19000000
5000,6,5,5700000
1127,6,2,41500000
1020,6,2,3700000
1600,6,3,8000000
1300,6,2,16200000
1000,6,2,2210000
1020,6,2,3700000
1000,6,2,6000000
2200,6,3,9000000
1900,6,3,26000000
1900,6,3,94900000
1800,6,3,11399999
1090,6,2,2250000
1335,6,2,40000000
1335,6,2,5000000
1550,6,3,9300000
1350,6,2,4800000
1650,6,3,8500000
1550,6,3,3325000
1550,6,3,3325000
1350,6,3,3500000
1001,6,2,2150000
1800,6,3,3400000
1225,6,2,9800000
1850,6,3,14800000
1850,6,3,2200000
1850,6,3,24000000
1182,6,2,11500000
1182,6,2,11500000
425,7,1,5500000
543,7,1,6800000
640,7,2,13500000
510,7,1,5500000
800,7,2,14000000
550,7,2,9000000
556,7,1,15500000
775,7,1,21500000
1225,7,3,6500000
565,7,1,7800000
650,7,1,8500000
555,7,1,2900000
1740,7,3,4500000
1015,7,3,54200000
1145,7,3,50800000
1815,7,4,36000000
1264,7,3,6998999
2066,7,3,16000000
2066,7,3,16000000
2065,7,3,55599999
3181,7,4,9499000
2065,7,3,55599999
3181,7,4,9499000
1865,7,3,14800000
1200,7,2,9500000
2000,7,3,59600000
3975,7,4,45700000
3050,7,4,23700000
1585,7,2,26200000
1750,7,3,22100000
1475,7,2,30900000
2065,7,3,4900000
575,7,1,2300000
2000,7,3,22100000
3975,7,4,30900000
3050,7,4,27900000
1585,7,2,8950000
1750,7,3,16500000
1475,7,2,17500000
2065,7,3,4799000
1865,7,3,6000000
1144,7,3,55000000
650,7,1,14500000
360,8,1,2600000
560,8,1,22000000
1040,8,2,5160000
645,8,1,3500000
600,8,1,3000000
600,8,1,8100000
600,8,1,10500000
999,8,2,5518000
945,8,2,8000000
945,8,2,12900000
715,8,1,7800000
675,8,1,2500000
650,8,1,8500000
365,8,1,2600000
730,8,2,13000000
450,8,1,11800000
750,8,2,2910000
645,8,1,7500000
568,9,2,4000000
802,9,2,6952000
829,9,2,6137000
1227,9,3,8600000
1108,9,3,8100000
1032,9,2,8100000
985,9,2,7500000
880,9,2,6800000
829,9,2,6200000
802,9,2,5600000
1530,9,3,9167000
1490,9,3,7881000
1295,9,2,5686000
1017,9,2,10500000
600,9,1,4500000
657,9,1,5690000
1332,9,3,13500000
1491,9,3,9200000
1017,9,2,5800000
927,9,2,5800000
1017,9,2,3700000
1021,9,2,8000000
1021,9,2,7500000
1017,9,2,5800000
1080,9,2,8000000
1080,9,2,5000000
1080,9,2,8200000
1080,9,2,14000000
780,10,2,65000000
780,10,2,8500000
780,10,2,2000000
780,10,2,28000000
780,10,2,2000000
780,10,2,2000000
780,10,2,2000000
780,10,2,2000000
780,10,2,2000000
780,10,2,2000000
780,10,2,2000000
780,10,2,14500000
750,10,2,15500000
810,10,3,22500000
750,10,2,15500000
550,10,2,23500000
550,10,2,2582000
630,10,2,14200000
570,10,1,8500000
1380,10,3,4500000
930,10,2,3350000
1160,10,3,2500000
930,10,2,3500000
1120,10,2,2900000
1160,10,3,2150000
820,10,2,3100000
795,10,2,32500000
740,10,2,4000000
1380,10,3,3500000
1200,10,3,3000000
1160,10,3,3317000
990,10,3,4300000
930,10,2,2350000
820,10,2,2350000
820,10,2,2100000
780,10,2,16700000
605,10,1,2178000
605,10,1,3877000
1077,10,3,3100000
1105,10,3,4000000
715,10,2,8399000
610,10,1,5690000
820,10,2,4500000
930,10,2,2300000
820,10,2,2100000
780,10,2,8500000
785,10,2,3920000
1120,10,3,8016000
1200,10,3,2300000
740,10,2,2600000
930,10,2,2600000
840,10,2,2900000
1160,10,3,4700000
731,10,2,2500000
999,10,2,2500000
675,10,2,2139000
620,10,1,2600000
513,10,1,60000000
740,10,2,2600000
610,10,1,2600000
585,10,1,2400000
714,10,2,2600000
935,10,2,5700000
1050,10,3,8399000
1200,10,3,3650000
465,10,1,2500000
990,10,3,16000000
930,10,2,15000000
605,10,1,7020000
1095,10,3,9370000
1108,10,3,6152000
973,10,1,3459000
1077,10,3,4371000
605,10,1,3574000
1095,10,3,4584000
820,10,2,2520000
