Area,Location,No. of Bedrooms,Price
1500,Chembur,3,12000000
600,Chembur,1,12000000
600,Chembur,1,31500000
575,Chembur,1,10500000
510,Chembur,1,11500000
650,Chembur,1,11000000
650,Chembur,1,20000000
1000,Chembur,2,30000000
1200,Chembur,2,36500000
1500,Chembur,2,27500000
1400,Chembur,3,19600000
1010,Chembur,2,30000000
650,Chembur,1,8000000
520,Chembur,1,110000000
1050,Chembur,2,58000000
950,Chembur,1,30000000
1285,Chembur,3,17500000
1500,Chembur,3,16500000
1050,Chembur,3,11800000
430,Chembur,1,17400000
624,Chembur,2,30400000
957,Chembur,3,31000000
1350,Chembur,3,16000000
1039,Chembur,2,7950000
900,Chembur,2,72000000
2800,Chembur,5,55000000
949,Chembur,3,80000000
1270,Chembur,3,17500000
1250,Chembur,3,20500000
1020,Chembur,2,17500000
1020,Chembur,2,4000000
1000,Chembur,2,9500000
650,Chembur,1,16500000
550,Chembur,1,9500000
450,Chembur,1,15400000
662,Chembur,2,24000000
550,Chembur,1,6900000
750,Chembur,2,110000000
1278,Chembur,2,26800000
1787,Chembur,3,22400000
1496,Chembur,2,9100000
1000,Chembur,2,20000000
1200,Chembur,2,17500000
1050,Chembur,2,30900000
1050,Chembur,2,30900000
1100,Chembur,2,36100000
499,Chembur,1,16900000
904,Chembur,2,6000000
1100,Chembur,2,36100000
499,Chembur,1,16900000
904,Chembur,2,6000000
696,Chembur,2,9600000
503,Chembur,2,9400000
495,Chembur,1,9200000
473,Chembur,1,9700000
506,Chembur,2,14600000
698,Chembur,2,10200000
550,Chembur,1,8500000
1090,Chembur,2,13500000
649,Chembur,2,17600000
783,Chembur,3,14000000
623,Chembur,2,12600000
561,Chembur,1,12900000
576,Chembur,2,16800000
751,Chembur,2,16399999
731,Chembur,2,19400000
863,Chembur,3,12300000
547,Chembur,2,10000000
447,Chembur,1,15700000
699,Chembur,2,12500000
557,Chembur,2,13500000
649,Chembur,2,12900000
783,Chembur,3,16800000
623,Chembur,2,16399999
561,Chembur,1,19400000
576,Chembur,2,12300000
751,Chembur,2,10000000
731,Chembur,2,15700000
863,Chembur,3,12500000
547,Chembur,2,4500000
447,Chembur,1,4500000
699,Chembur,2,5500000
557,Chembur,2,3500000
800,Chembur,2,26000000
881,Chembur,2,22000000
800,Chembur,2,28500000
750,Chembur,1,22000000
1500,Chembur,3,16000000
1100,Chembur,2,6300000
800,Chembur,2,9000000
700,Chembur,2,17300000
1200,Chembur,2,11100000
700,Chembur,1,22000000
750,Chembur,2,11000000
850,Chembur,2,12000000
776,Chembur,2,23000000
600,Chembur,1,4600000
1020,Chembur,1,18500000
825,Chembur,1,13500000
1200,Chembur,3,7800000
600,Chembur,1,7500000
1150,Chembur,2,7500000
649,Chembur,2,12500000
783,Chembur,3,3988000
623,Chembur,2,3308000
561,Chembur,1,3661000
447,Chembur,1,2057000
699,Chembur,2,3722999
557,Chembur,2,11500000
649,Chembur,2,16399999
783,Chembur,3,19400000
623,Chembur,2,12300000
561,Chembur,1,10000000
576,Chembur,2,15700000
751,Chembur,2,12500000
731,Chembur,2,3459000
863,Chembur,3,4371000
547,Chembur,2,3574000
447,Chembur,1,4584000
699,Chembur,2,3326000
557,Chembur,2,11500000
1278,Chembur,2,19000000
1278,Chembur,2,19500000
1278,Chembur,2,10500000
1787,Chembur,3,11500000
1278,Chembur,2,16500000
1400,Chembur,3,33000000
1005,Chembur,2,9500000
757,Chembur,1,7500000
585,Chembur,1,31000000
1550,Chembur,3,18200000
1050,Chembur,2,11000000
1120,Chembur,2,12200000
1485,Chembur,3,19000000
1150,Chembur,2,12000000
675,Chembur,1,10700000
675,Chembur,1,32599999
1350,Chembur,3,37000000
1850,Chembur,3,22200000
1270,Chembur,2,19500000
1073,Chembur,2,16500000
1250,Chembur,2,14000000
400,Chembur,1,9200000
1200,Churchgate,2,65000000
2350,Dadar,4,85000000
2475,Dadar,4,46500000
980,Dadar,2,13000000
1836,Dadar,3,5600000
1240,Dadar,2,12700000
1150,Dahisar,2,12100000
650,Dahisar,1,6500000
566,Dahisar,1,6500000
1069,Dahisar,2,15000000
686,Dahisar,2,24000000
1069,Dahisar,2,15000000
686,Dahisar,2,24000000
2730,Dahisar,4,37000000
1361,Dahisar,2,36500000
1250,Dahisar,2,28000000
1850,Dahisar,3,37000000
1361,Dahisar,2,43000000
1850,Dahisar,3,37000000
1361,Dahisar,2,36500000
1250,Dahisar,2,28000000
1850,Dahisar,3,37000000
1361,Dahisar,2,43000000
1850,Dahisar,3,29000000
980,Dahisar,2,35000000
873,Dahisar,2,26000000
1230,Dahisar,3,26000000
1250,Dahisar,3,44000000
1721,Dahisar,3,11000000
2730,Dahisar,4,4050000
450,Dahisar,1,2425000
1100,Dahisar,2,10500000
950,Dahisar,2,16000000
950,Dahisar,2,8500000
580,Dahisar,1,2450000
640,Dahisar,1,3800000
600,Dahisar,1,6700000
850,Dahisar,2,9600000
750,Dahisar,2,7600000
354,Dahisar,1,9000000
510,Dahisar,1,6000000
850,Dahisar,2,16500000
890,Dahisar,2,7000000
820,Dahisar,2,9800000
595,Dahisar,1,10000000
780,Dahisar,2,14500000
1044,Dahisar,3,9500000
890,Dahisar,2,7000000
820,Dahisar,2,9800000
595,Dahisar,1,10000000
1196,Dahisar,3,16500000
560,Dahisar,2,13899999
720,Dahisar,2,14500000
721,Dahisar,2,16700000
620,Dahisar,1,18000000
1010,Dahisar,2,8000000
480,Dahisar,1,45199999
850,Dahisar,2,7500000
950,Dahisar,2,18500000
992,Dahisar,2,8400000
1984,Dahisar,4,16500000
850,Dahisar,2,20000000
685,Dahisar,1,11000000
850,Dahisar,2,11500000
650,Dahisar,1,20000000
950,Dahisar,2,6500000
1250,Dahisar,3,15600000
1196,Dahisar,3,16500000
1196,Dahisar,3,8400000
855,Dahisar,2,15500000
1196,Dahisar,3,2000000
1196,Dahisar,3,34500000
855,Dahisar,2,34000000
855,Dahisar,2,23500000
574,Dahisar,1,20000000
492,Dahisar,1,7000000
492,Dahisar,1,23500000
550,Dahisar,1,25800000
865,Dahisar,2,2804000
1200,Dahisar,2,18800000
1200,Dahisar,2,18800000
600,Dahisar,1,16299999
1300,Dahisar,3,91800000
600,Dahisar,1,2200000
566,Dahisar,1,6500000
793,Dahisar,2,10500000
600,Dahisar,1,5800000
580,Dahisar,1,14500000
1020,Dahisar,2,22000000
580,Dahisar,1,2200000
580,Dahisar,1,8600000
590,Dahisar,1,11500000
785,Dahisar,2,14200000
580,Dahisar,1,14500000
1020,Dahisar,2,8000000
780,Dahisar,2,37500000
815,Dahisar,2,12500000
485,Dahisar,1,14000000
600,Dahisar,1,21500000
1300,Dahisar,3,29500000
1050,Dahisar,2,4850000
1026,Dahisar,2,46500000
792,Dahisar,2,4800000
1026,Dahisar,2,25800000
927,Dahisar,2,13000000
650,Dahisar,1,8000000
1000,Dahisar,2,14500000
1100,Dahisar,2,8500000
560,Dahisar,1,15200000
550,Dahisar,1,11500000
1200,Dahisar,3,15500000
410,Dahisar,1,9000000
585,Dahisar,1,10000000
610,Dahisar,1,8000000
610,Dahisar,1,15000000
410,Dahisar,1,9000000
585,Dahisar,1,10000000
610,Dahisar,1,8000000
610,Dahisar,1,15000000
490,Dahisar,1,11700000
680,Dahisar,2,8200000
550,Dahisar,1,11500000
625,Dahisar,1,18000000
990,Dahisar,2,8200000
550,Dahisar,1,14000000
800,Dahisar,2,21800000
1500,Dahisar,3,38000000
400,Dahisar,1,7500000
650,Dahisar,1,18000000
550,Dahisar,1,12700000
500,Dahisar,1,9600000
560,Dahisar,1,6000000
560,Dahisar,1,6000000
800,Dahisar,2,55000000
1050,Dattapada,2,18500000
1250,Dattapada,2,21000000
1050,Dattapada,2,15000000
1050,Dattapada,2,18500000
1250,Dattapada,2,21000000
1050,Dattapada,2,15000000
1050,Dattapada,2,16500000
1350,Dattapada,3,28500000
1050,Dattapada,2,19000000
950,Dattapada,2,15000000
1300,Dattapada,3,24000000
600,Dattapada,1,11200000
1500,Dattapada,3,23000000
1050,Dattapada,2,15500000
1100,Dattapada,3,23000000
1050,Dattapada,2,16500000
1050,Dattapada,2,18000000
1050,Dattapada,2,15000000
950,Dattapada,2,17500000
1250,Dattapada,3,19500000
1200,Dattapada,3,19500000
850,Dattapada,2,16000000
1300,Dattapada,3,15000000
950,Dattapada,2,9800000
1300,Dattapada,3,15000000
950,Dattapada,2,9800000
375,Dombivali,1,2018000
2115,Dombivali,3,10000000
1595,Dombivali,2,90000000
1503,Dombivali,2,11700000
929,Dombivali,2,5000000
791,Dombivali,2,16000000
450,Dombivali,1,10500000
700,Dombivali,1,14900000
600,Dombivali,1,9800000
600,Dombivali,1,9800000
1000,Dombivali,2,30000000
809,Dombivali,2,4043000
408,Dombivali,1,4498000
454,Dombivali,1,8294000
834,Dombivali,2,6242000
630,Dombivali,2,6242000
630,Dombivali,2,17500000
350,Dombivali,1,4000000
710,Dombivali,1,27000000
650,Dombivali,1,4200000
600,Dombivali,1,6450000
510,Dombivali,1,6700000
510,Dombivali,1,6700000
670,Dombivali,1,14000000
1098,Dombivali,2,8000000
1098,Dombivali,1,27500000
1131,Dombivali,3,4300000
809,Dombivali,2,6242000
630,Dombivali,2,4043000
408,Dombivali,1,4498000
454,Dombivali,1,8294000
834,Dombivali,2,3500000
870,Dombivali,2,3663000
666,Dombivali,1,5555000
1010,Dombivali,3,2500000
750,Dombivali,2,9000000
750,Dombivali,2,7500000
1120,Dombivali,3,18000000
774,Dombivali,1,6862000
990,Dombivali,2,4556000
1314,Dombivali,3,2700000
1062,Dombivali,2,2700000
1197,Dombivali,3,18500000
1098,Dombivali,2,8500000
729,Dombivali,1,26000000
665,Dombivali,1,40000000
665,Dombivali,1,40000000
665,Dombivali,1,19500000
665,Dombivali,1,8500000
665,Dombivali,1,6800000
1150,Dombivali,2,32000000
700,Dombivali,1,13000000
774,Dombivali,1,22000000
315,Dombivali,1,12000000
637,Dombivali,1,2200000
455,Dombivali,1,50000000
555,Dombivali,1,3800000
600,Dombivali,1,3600000
550,Dombivali,1,3700000
600,Dombivali,1,3000000
950,Dombivali,3,7600000
555,Dombivali,1,3800000
600,Dombivali,1,3600000
550,Dombivali,1,3700000
600,Dombivali,1,3000000
950,Dombivali,3,7600000
530,Dombivali,1,3467000
675,Dombivali,1,13000000
445,Dombivali,1,2100000
400,Dombivali,1,100000000
686,Dombivali,2,4580000
686,Dombivali,2,3500000
686,Dombivali,2,7100000
620,Dombivali,1,70000000
700,Dombivali,2,8020000
900,Dombivali,3,2400000
920,Dombivali,2,4500000
920,Dombivali,2,4500000
920,Dombivali,2,4600000
920,Dombivali,2,5500000
500,Dombivali,1,18800000
600,Dombivali,1,2500000
560,Dombivali,1,8500000
530,Dombivali,1,8359999
690,Dombivali,1,3599000
1480,Dombivali,3,6300000
955,Dombivali,2,10700000
518,Dombivali,1,9000000
450,Dombivali,1,20299999
500,Dombivali,1,11000000
480,Dombivali,1,2300000
590,Dombivali,2,13500000
540,Dombivali,1,7150000
645,Dombivali,1,11500000
1050,Dombivali,2,16500000
725,Dombivali,1,14000000
350,Dombivali,1,28700000
1015,Dombivali,2,64300000
750,Dombivali,2,7200000
375,Dombivali,1,5850000
1075,Dombivali,2,4500000
700,Dombivali,1,9500000
950,Dombivali,2,2249000
950,Dombivali,2,2249000
995,Dombivali,2,5400000
1034,Dombivali,2,6700000
785,Dombivali,1,8800000
420,Dombivali,1,42500000
700,Dombivali,1,40000000
525,Dombivali,1,12000000
640,Dombivali,1,23700000
600,Dombivali,1,5999000
450,Dombivali,1,4801000
380,Dombivali,1,19200000
1150,Dronagiri,2,6100000
690,Dronagiri,1,3500000
1070,Dronagiri,2,5200000
704,Dronagiri,1,3400000
688,Dronagiri,1,3500000
625,Dronagiri,1,2400000
690,Dronagiri,1,3500000
1070,Dronagiri,2,5200000
704,Dronagiri,1,3400000
688,Dronagiri,1,3500000
625,Dronagiri,1,2400000
1155,Dronagiri,2,5000000
1120,Dronagiri,2,5300000
650,Dronagiri,1,3000000
665,Dronagiri,1,3650000
690,Dronagiri,1,4200000
675,Dronagiri,1,3001000
650,Dronagiri,1,3000000
665,Dronagiri,1,3650000
690,Dronagiri,1,4200000
675,Dronagiri,1,3001000
1150,Dronagiri,2,6100000
645,Dronagiri,1,4400000
880,Dronagiri,1,3400000
600,Dronagiri,1,4600000
1365,Dronagiri,2,119900000
1000,Dronagiri,2,11500000
660,Dronagiri,1,6000000
1050,Dronagiri,2,17000000
660,Dronagiri,1,7450000
735,Dronagiri,1,3000000
665,Dronagiri,1,3000000
665,Dronagiri,1,30000000
1175,Dronagiri,2,13000000
1540,Dronagiri,3,110000000
650,Dronagiri,1,16800000
640,Dronagiri,1,7481000
555,Dronagiri,1,4250000
530,Dronagiri,1,18200000
400,Ghansoli,1,6000000
660,Ghansoli,1,6000000
660,Ghansoli,1,35000000
1650,Ghansoli,3,2460000
1365,Ghansoli,3,19200000
1140,Ghansoli,2,29000000
2065,Ghansoli,3,19800000
1400,Ghansoli,2,16000000
1550,Ghansoli,3,14500000
1145,Ghansoli,2,12000000
925,Ghansoli,2,12500000
1145,Ghansoli,2,13000000
1050,Ghansoli,2,8900000
640,Ghansoli,1,21000000
1665,Ghansoli,3,9000000
695,Ghansoli,1,16500000
1100,Ghansoli,2,11000000
905,Ghansoli,2,9800000
1200,Ghansoli,2,15500000
1205,Ghansoli,2,9000000
702,Ghansoli,1,20500000
645,Ghansoli,1,22500000
645,Ghansoli,1,21500000
1450,Ghansoli,3,17500000
2065,Ghansoli,3,8200000
1800,Ghansoli,3,21000000
1200,Ghansoli,2,14000000
900,Ghansoli,2,19000000
1200,Ghansoli,2,18500000
700,Ghansoli,1,21000000
670,Ghansoli,1,3400000
1240,Ghansoli,2,9300000
660,Ghansoli,1,10600000
1225,Ghansoli,3,7700000
1462,Ghatkopar,3,18000000
676,Ghatkopar,1,8500000
1350,Ghatkopar,3,29000000
957,Ghatkopar,2,12000000
1527,Ghatkopar,3,22000000
1188,Ghatkopar,2,17500000
1805,Ghatkopar,3,15000000
815,Ghatkopar,2,58500000
3410,Ghatkopar,4,28600000
1766,Ghatkopar,3,28600000
2200,Ghatkopar,4,24500000
1558,Ghatkopar,3,23500000
3410,Ghatkopar,4,58500000
1556,Ghatkopar,3,11500000
1733,Ghatkopar,3,18000000
1015,Ghatkopar,2,60000000
810,Ghatkopar,2,11000000
642,Ghatkopar,1,51500000
335,Ghatkopar,1,35700000
2014,Ghatkopar,3,72500000
1188,Ghatkopar,2,17500000
5150,Ghatkopar,3,10500000
1203,Ghatkopar,4,180000000
630,Ghatkopar,2,4300000
850,Ghatkopar,2,13000000
1046,Ghatkopar,3,46200000
1507,Ghatkopar,4,10800000
686,Ghatkopar,2,24600000
1182,Ghatkopar,3,34800000
1050,Ghatkopar,2,16000000
1053,Ghatkopar,2,16800000
1054,Ghatkopar,2,16500000
1054,Ghatkopar,2,16399999
1050,Ghatkopar,2,16500000
1053,Ghatkopar,2,6200000
1040,Ghatkopar,2,27000000
700,Ghatkopar,2,11900000
750,Ghatkopar,1,4000000
410,Ghatkopar,1,11000000
644,Ghatkopar,1,10200000
644,Ghatkopar,1,7300000
450,Ghatkopar,1,7500000
500,Ghatkopar,1,7600000
500,Ghatkopar,1,7700000
500,Ghatkopar,1,9500000
750,Ghatkopar,1,8000000
500,Ghatkopar,1,18500000
750,Ghatkopar,1,7600000
500,Ghatkopar,1,8900000
996,Ghatkopar,2,22400000
1358,Ghatkopar,3,16800000
605,Ghatkopar,1,8200000
750,Ghatkopar,2,9300000
1238,Ghatkopar,3,7000000
1238,Ghatkopar,3,12500000
1238,Ghatkopar,2,16500000
1350,Ghatkopar,3,14800000
1238,Ghatkopar,3,8200000
1238,Ghatkopar,2,27000000
1238,Ghatkopar,2,11000000
1350,Ghatkopar,3,9300000
1695,Goregaon,3,27000000
1579,Goregaon,3,21600000
2153,Goregaon,3,30200000
1872,Goregaon,4,41200000
1717,Goregaon,3,30500000
2195,Goregaon,3,37500000
2195,Goregaon,3,41500000
3230,Goregaon,4,48000000
1012,Goregaon,2,12600000
1950,Goregaon,3,32000000
340,Goregaon,1,11500000
1342,Goregaon,2,15500000
1415,Goregaon,3,18500000
1202,Goregaon,2,25600000
1215,Goregaon,2,9000000
650,Goregaon,1,77500000
3507,Goregaon,6,18000000
987,Goregaon,2,21000000
1040,Goregaon,2,43500000
1405,Goregaon,3,6500000
1404,Goregaon,2,27900000
1620,Goregaon,3,31500000
1675,Goregaon,4,36700000
900,Goregaon,2,16000000
1404,Goregaon,2,29000000
1618,Goregaon,3,29400000
1400,Goregaon,3,25000000
900,Goregaon,2,11299999
545,Goregaon,1,4600000
340,Goregaon,1,3000000
1404,Goregaon,2,2500000
1777,Goregaon,3,4665000
974,Goregaon,2,17000000
1040,Goregaon,2,10200000
526,Goregaon,1,7200000
937,Goregaon,3,4199000
1278,Goregaon,3,70000000
526,Goregaon,1,7200000
937,Goregaon,3,4199000
1278,Goregaon,3,12500000
2015,Goregaon,4,32500000
1502,Goregaon,3,13500000
1100,Goregaon,2,7800000
2100,Goregaon,3,60000000
1100,Goregaon,2,7800000
2100,Goregaon,3,60000000
2195,Goregaon,3,8400000
2300,Goregaon,3,6217000
1190,Goregaon,2,16000000
1862,Goregaon,3,17000000
3000,Goregaon,5,12800000
1330,Goregaon,3,10000000
600,Goregaon,1,13500000
970,Goregaon,2,31000000
1456,Goregaon,3,37000000
1050,Goregaon,2,18000000
1290,Goregaon,2,11500000
1660,Goregaon,4,22500000
1290,Goregaon,2,13000000
1300,Goregaon,2,11500000
709,Goregaon,2,19700000
709,Goregaon,2,27100000
980,Goregaon,3,35400000
1418,Goregaon,4,28500000
1035,Goregaon,2,22300000
1355,Goregaon,3,3100000
900,Goregaon,2,65000000
1690,Goregaon,2,28500000
1200,Goregaon,2,31000000
1200,Goregaon,1,41500000
1820,Goregaon,3,16500000
900,Goregaon,2,12200000
2500,Goregaon,4,2200000
2100,Goregaon,3,11900000
1820,Goregaon,2,7500000
1400,Goregaon,3,13000000
1100,Goregaon,2,19200000
1820,Goregaon,2,18900000
659,Goregaon,1,13500000
1491,Goregaon,3,60000000
1491,Goregaon,3,43000000
1367,Goregaon,3,43000000
1367,Goregaon,3,62500000
960,Goregaon,2,7900000
850,Goregaon,2,11000000
500,Goregaon,1,16100000
2085,Goregaon,4,48000000
3600,Goregaon,4,21000000
400,Goregaon,1,4200000
400,Goregaon,1,6200000
544,Goregaon,1,9800000
3300,Goregaon,6,11000000
1296,Goregaon,2,18100000
1638,Goregaon,3,23800000
1465,Goregaon,3,21200000
2030,Goregaon,3,36500000
775,Goregaon,2,14500000
910,Goregaon,2,13500000
640,Goregaon,1,9000000
1656,Goregaon,3,27900000
3888,Goregaon,4,81600000
3585,Goregaon,4,60100000
510,Goregaon,1,12000000
1270,Goregaon,2,17000000
2665,Goregaon,3,62500000
1500,Goregaon,3,21500000
1500,Goregaon,3,21500000
1500,Goregaon,3,21500000
1650,Goregaon,3,25500000
546,Goregaon,1,10000000
1505,Goregaon,3,25700000
1250,Goregaon,2,2476000
1250,Goregaon,2,4000000
1045,Goregaon,2,8500000
1045,Goregaon,2,8500000
1400,Goregaon,2,8500000
1487,Goregaon,3,18500000
1065,Goregaon,2,17000000
922,Goregaon,2,7700000
1100,Goregaon,2,25000000
1205,Goregaon,3,5690000
780,Goregaon,2,7500000
1485,Goregaon,3,19500000
1150,Goregaon,2,2700000
1485,Goregaon,3,19500000
1150,Goregaon,2,2800000
1150,Goregaon,2,2800000
1485,Goregaon,3,9750000
704,Goregaon,2,3700000
700,Goregaon,1,11700000
711,Goregaon,2,25500000
921,Goregaon,3,33500000
1112,Goregaon,3,23900000
1224,Goregaon,3,56500000
1859,Goregaon,4,20000000
1250,Goregaon,2,7700000
627,Goregaon,2,21700000
894,Goregaon,3,6200000
941,Goregaon,2,25000000
1189,Goregaon,3,35700000
1710,Goregaon,4,28000000
1289,Goregaon,3,7500000
585,Goregaon,1,14500000
2664,Goregaon,3,11000000
600,Goregaon,1,9500000
510,Goregaon,1,12600000
885,Goregaon,2,11000000
1600,Goregaon,3,20000000
1250,Goregaon,2,11000000
1435,Goregaon,3,10200000
1250,Goregaon,2,8500000
1088,Goregaon,3,20700000
905,Goregaon,2,3600000
1088,Goregaon,3,20700000
905,Goregaon,2,2750000
1088,Goregaon,3,7800000
905,Goregaon,2,8000000
1399,Goregaon,3,29500000
994,Goregaon,2,36000000
650,Goregaon,1,16000000
1299,Goregaon,2,8000000
1500,Goregaon,3,18000000
1299,Goregaon,2,31900000
1150,Goregaon,2,3200000
1100,Goregaon,2,18500000
1100,Goregaon,2,19100000
1100,Goregaon,2,12500000
1100,Goregaon,2,10500000
1100,Goregaon,2,20000000
1100,Goregaon,1,13500000
1100,Goregaon,1,19500000
1100,Goregaon,1,28000000
1100,Goregaon,2,8000000
1100,Goregaon,2,5300000
1150,Goregaon,2,15300000
1050,Goregaon,3,26000000
1650,Goregaon,3,4900000
1350,Goregaon,3,14200000
1350,Goregaon,3,9200000
888,Goregaon,2,25000000
1151,Goregaon,3,7500000
1501,Goregaon,3,13300000
600,Goregaon,1,16000000
830,Goregaon,1,12500000
980,Goregaon,2,2520000
980,Goregaon,2,8000000
980,Goregaon,2,4400000
1435,Goregaon,3,3500000
1250,Goregaon,3,8700000
1289,Goregaon,3,8800000
1556,Goregaon,3,8300000
650,Goregaon,1,2200000
410,Greater Khanda,1,23500000
1050,Greater Khanda,2,9800000
600,Greater Khanda,1,9200000
950,Greater Khanda,2,7800000
950,Greater Khanda,2,17000000
950,Greater Khanda,2,7800000
950,Greater Khanda,2,17000000
840,Hiranandani Estates,2,5898000
860,Hiranandani Estates,2,10500000
2000,Hiranandani Estates,3,43500000
2200,Hiranandani Estates,4,7000000
1086,Hiranandani Estates,3,10900000
727,Hiranandani Estates,2,2400000
611,Hiranandani Estates,2,5690000
600,Hiranandani Estates,1,13000000
910,Hiranandani Estates,2,2300000
1580,Hiranandani Estates,3,28000000
1345,Hiranandani Estates,3,21500000
1130,Hiranandani Estates,3,28500000
1495,Hiranandani Estates,3,11000000
550,Hiranandani Estates,1,18000000
441,Jawahar Nagar,2,8800000
500,Jawahar Nagar,1,9000000
350,Jawahar Nagar,1,8500000
380,Jawahar Nagar,1,28000000
1050,Jeejamata Nagar,3,7500000
815,Jeejamata Nagar,2,8000000
997,Jogeshwari,3,32500000
1038,Jogeshwari,2,18500000
1038,Jogeshwari,2,18500000
350,Jogeshwari,1,2500000
300,Jogeshwari,1,5500000
1820,Jogeshwari,2,38000000
925,Jogeshwari,2,37400000
750,Jogeshwari,2,16500000
750,Jogeshwari,2,16500000
750,Jogeshwari,1,10000000
750,Jogeshwari,1,8500000
750,Jogeshwari,2,16000000
585,Jogeshwari,1,8500000
750,Jogeshwari,1,10500000
750,Jogeshwari,1,11000000
650,Jogeshwari,1,2350000
950,Jogeshwari,2,6500000
950,Jogeshwari,2,32500000
1450,Jogeshwari,3,2100000
635,Jogeshwari,1,120000000
1500,Jogeshwari,3,2000000
1050,Jogeshwari,2,14500000
1050,Jogeshwari,2,21400000
500,Jogeshwari,1,19500000
1350,Jogeshwari,3,24500000
1350,Jogeshwari,3,22500000
1350,Jogeshwari,3,24500000
1350,Jogeshwari,3,22500000
750,Jogeshwari,2,15500000
950,Jogeshwari,2,18500000
750,Jogeshwari,1,16000000
535,Jogeshwari,1,14000000
2200,Jogeshwari,4,14000000
2200,Jogeshwari,4,12600000
630,Jogeshwari,1,16500000
800,Jogeshwari,2,9000000
750,Jogeshwari,1,14000000
750,Jogeshwari,1,14600000
880,Jogeshwari,2,10800000
1100,Jogeshwari,2,5900000
756,Juhu,2,11000000
1435,Juhu,3,60100000
1435,Juhu,3,60100000
2000,Juhu,4,120000000
1634,Juhu,3,27000000
872,Juhu,1,70000000
1527,Juhu,3,120000000
3049,Juhu,5,100000000
1800,Juhu,3,55000000
2160,Juhu,3,10200000
2160,Juhu,3,10200000
5460,Juhu,4,10000000
1250,Juhu,3,16000000
1800,Juhu,3,25000000
1800,Juhu,3,16299999
2570,Juhu,3,14600000
4320,Juhu,4,17800000
1080,Juhu,2,4000000
1080,Juhu,2,14000000
2040,Juhu,4,14600000
1620,Juhu,3,9900000
864,Juhu,2,45000000
780,Juhu,2,50000000
1020,Juhu,2,50000000
1020,Juhu,2,13000000
1620,Juhu,3,6350000
1104,Juhu,3,14300000
2800,Juhu,4,3500000
1500,Juhu,3,55000000
1500,Juhu,3,16500000
790,Juhu,2,4351000
1850,Juhu,4,4850000
1843,Juhu,4,8500000
960,Juhu,2,4200000
1500,Juhu,3,4500000
600,Juhu,1,12000000
600,Juhu,1,27500000
1000,Juhu,2,2950000
1000,Juhu,2,7500000
1050,Juhu,2,47500000
950,Juhu,3,3200000
2150,Kalamboli,3,18000000
2150,Kalamboli,3,18000000
1221,Kalamboli,2,3850000
725,Kalamboli,1,13500000
650,Kalamboli,1,25000000
925,Kalamboli,2,4300000
925,Kalamboli,2,16500000
3050,Kalamboli,5,11500000
1330,Kalamboli,2,14500000
1600,Kalamboli,3,7700000
650,Kalwa,1,7500000
650,Kalwa,1,7500000
650,Kalwa,1,7500000
600,Kalwa,1,5500000
580,Kalwa,1,5500000
630,Kalwa,1,5600000
620,Kalwa,1,6000000
1056,Kalwa,2,9500000
711,Kalwa,2,9750000
560,Kalwa,1,5300000
488,Kalwa,1,6656000
711,Kalwa,2,9750000
560,Kalwa,1,5300000
770,Kalwa,2,9250000
1145,Kalwa,2,20099999
1000,Kalwa,2,8500000
1051,Kalwa,2,13000000
2500,Kalwa,5,12000000
580,Kalwa,1,8000000
720,Kalwa,1,18800000
580,Kalwa,1,7000000
500,Kalwa,1,6500000
620,Kalwa,1,6500000
660,Kalwa,1,5500000
680,Kalwa,1,5700000
657,Kalwa,1,5900000
1000,Kalwa,2,5500000
620,Kalwa,1,6000000
647,Kalwa,1,6200000
478,Kalwa,1,6000000
680,Kalwa,1,4000000
850,Kalwa,2,19800000
565,Kalwa,1,40300000
565,Kalwa,1,13000000
330,Kalwa,1,2520000
575,Kalyan,1,3600000
575,Kalyan,1,3600000
670,Kalyan,1,3985000
7000,Kalyan,6,50000000
525,Kalyan,1,2375000
550,Kalyan,1,12500000
855,Kalyan,2,3300000
600,Kalyan,1,4500000
880,Kalyan,2,4500000
855,Kalyan,2,3300000
600,Kalyan,1,4500000
880,Kalyan,2,4500000
1060,Kalyan,2,21000000
1700,Kalyan,3,22000000
1100,Kalyan,2,120000000
1060,Kalyan,2,39000000
1060,Kalyan,2,11000000
1060,Kalyan,2,3800000
950,Kalyan,2,7000000
1220,Kalyan,3,7500000
1127,Kalyan,2,16000000
1065,Kalyan,2,7700000
1065,Kalyan,2,4500000
1000,Kalyan,3,14800000
600,Kalyan,2,10500000
755,Kalyan,2,2350000
413,Kalyan,1,4100000
465,Kalyan,1,4800000
610,Kalyan,2,4380000
610,Kalyan,2,4380000
610,Kalyan,2,5060000
650,Kalyan,2,4380000
430,Kalyan,1,4800000
485,Kalyan,1,5800000
430,Kalyan,1,2600000
660,Kalyan,2,4450000
455,Kalyan,1,2840000
450,Kalyan,1,5800000
660,Kalyan,2,8300000
790,Kalyan,2,2600000
525,Kalyan,1,5800000
663,Kalyan,2,4200000
440,Kalyan,1,3700000
417,Kalyan,1,3700000
410,Kalyan,1,3500000
565,Kalyan,1,5200000
596,Kalyan,1,11000000
980,Kalyan,2,3890000
650,Kalyan,1,14900000
999,Kalyan,2,70000000
695,Kalyan,1,25700000
695,Kalyan,1,4700000
695,Kalyan,1,25700000
950,Kalyan,2,21200000
1130,Kalyan,2,4600000
800,Kalyan,2,5500000
1080,Kalyan,2,4200000
655,Kalyan,1,10800000
