Area,Location,No. of Bedrooms,Price
1193,Andheri,3,26500000
1250,Andheri,2,100000000
800,Andheri,2,17000000
1792,Andheri,3,22500000
3000,Andheri,4,7209999
707,Andheri,2,27799999
944,Andheri,3,13899999
923,Andheri,2,22200000
930,Andheri,2,7500000
1250,Andheri,2,105000000
420,Andheri,1,14600000
586,Andheri,2,3500000
1174,Andheri,3,55400000
1179,Andheri,3,55700000
1181,Andheri,3,60700000
1234,Andheri,3,79200000
1648,Andheri,4,62100000
1305,Andheri,3,85600000
1705,Andheri,4,54500000
1142,Andheri,3,65500000
1344,Andheri,3,68100000
1418,Andheri,3,59500000
1210,Andheri,3,27000000
1550,Andheri,3,26000000
1250,Andheri,3,2999000
2500,Andheri,4,42500000
1850,Andheri,3,8016000
2550,Andheri,4,99000000
2073,Andheri,3,9500000
1450,Andheri,2,8300000
930,Andheri,2,39000000
1147,Andheri,3,71500000
1680,Andheri,4,58000000
1500,Andheri,3,101800000
2400,Andheri,4,47800000
667,Andheri,2,10000000
2250,Andheri,3,38000000
1350,Andheri,2,22000000
1250,Andheri,2,8628000
3100,Andheri,5,19700000
2525,Andheri,4,42500000
1250,Andheri,2,36000000
1900,Andheri,3,24000000
1300,Andheri,2,4850000
1003,Andheri,2,31700000
1166,Andheri,2,39000000
1509,Andheri,3,19000000
1250,Andheri,2,51500000
1640,Andheri,3,6350000
1100,Andheri,2,15200000
2780,Andheri,4,51900000
2260,Andheri,3,47600000
2070,Andheri,3,14500000
1864,Andheri,3,22300000
1264,Andheri,2,23200000
1264,Andheri,2,23200000
1264,Andheri,2,23200000
1264,Andheri,2,23200000
1264,Andheri,2,23200000
1264,Andheri,2,2350000
774,Andheri,2,2500000
944,Andheri,3,25000000
713,Andheri,2,24800000
708,Andheri,2,21400000
1100,Andheri,2,30000000
926,Andheri,2,19900000
934,Andheri,2,22200000
960,Andheri,2,22200000
810,Andheri,2,26700000
1127,Andheri,3,11000000
890,Andheri,2,14500000
1174,Andheri,3,60700000
1179,Andheri,3,73700000
1181,Andheri,3,79200000
1234,Andheri,3,62100000
1357,Andheri,3,42600000
1648,Andheri,4,44300000
1305,Andheri,3,85600000
894,Andheri,2,59700000
932,Andheri,2,54500000
1705,Andheri,4,65500000
1105,Andheri,3,62800000
1142,Andheri,3,68100000
1344,Andheri,3,59500000
1335,Andheri,3,78800000
1418,Andheri,3,5600000
1210,Andheri,3,2650000
